ID,Text,Comment
Lapantouflemagic.Pitwarehouse.DisplayName,半地下倉庫,-,
Lapantouflemagic.Pitwarehouse.Description,2階に搬入口がある、痒い所に手が届く倉庫。,-,
Lapantouflemagic.Pitwarehouse.FlavorDescription,先入れ先出し法ができないので、底にあるものはどんどん古くなる。,-,
Lapantouflemagic.Pitpile.DisplayName,半地下資材置き場,-,
Lapantouflemagic.Pitpile.Description,2階に搬入口がある、痒い所に手が届く資材置き場。,-,
Lapantouflemagic.Pitpile.FlavorDescription,「ここに死体を埋めたら誰も気づくまい。」—桐かじジャック,-,
Lapantouflemagic.SCoveredtank.DisplayName,屋根付きの小さなタンク,-,
Lapantouflemagic.SCoveredtank.Description,小さいけど上に建物を乗せられる。,-,
Lapantouflemagic.Longwarehouse.DisplayName,細長い倉庫,-
Lapantouflemagic.Longwarehouse.Description,届きにくい角を埋めるのに便利な、少し長い倉庫。,-
Lapantouflemagic.Longwarehouse.FlavorDescription,「貯蔵施設委員会は次にどんな形を考えるんだろう。」—木こりのビーバー,-,
