ID,Text,Comment
Faction.Emberpelts.DisplayName,Glutpelze,Name of a faction
Faction.Charcoal.DisplayName,Aschepelze,
Faction.Emberpelts.Description,"Die Glutpelze haben eine Vorliebe für die Farbe Rot und mögen es warm. Manchmal sehen sie einfach gerne zu, wie Dinge brennen.
Sie mögen es nicht, wenn ihr Pelz nass wird.
Ihr Motto: <i>Herzen aus Feuer.</i>",Description of a beaver faction
Bot.DisplayName.Emberpelts,Feuer Roboter {0},Bot name
Good.Brick.DisplayName,Ziegel,Item Name
Good.Brick.PluralDisplayName,Ziegel,Plural Item Name
Good.Clay.DisplayName,Ton,Item Name
Good.Clay.PluralDisplayName,Ton,Plural Item Name
Good.Coal.DisplayName,Holzkohle,Item Name
Good.Coal.PluralDisplayName,Holzkohle,Plural Item Name
Good.Apple.DisplayName,Apfel,Item Name
Good.Apple.PluralDisplayName,Äpfel,Plural Item Name
Good.AppleJuice.DisplayName,Apfelsaft,Item Name
Good.AppleJuice.PluralDisplayName,Apfelsaft,Plural Item Name
Good.Radish.DisplayName,Radieschen,
Good.Radish.PluralDisplayName,Radieschen,
Good.Tomato.DisplayName,Tomate,
Good.Tomato.PluralDisplayName,Tomaten,
Good.TomatoJuice.DisplayName,Tomatensaft,
Good.TomatoJuice.PluralDisplayName,Tomatensaft,
Good.Beetroot.DisplayName,Rübe,
Good.Beetroot.PluralDisplayName,Rüben,
Good.RedJuice.DisplayName,Rüben- und Radieschensaft,
Good.RedJuice.PluralDisplayName,Rüben- und Radieschensaft,
Good.CornJuice.DisplayName,Maissaft,
Good.CornJuice.PluralDisplayName,Maissaft,
Good.Pepper.DisplayName,Paprika,
Good.Pepper.PluralDisplayName,Paprika,
Good.Cornmeal.DisplayName,Maismehl,
Good.Cornmeal.PluralDisplayName,Maismehl,
Good.GrilledCorn.DisplayName,Gegrillter Mais,
Good.GrilledCorn.PluralDisplayName,Gegrillter Mais,
Good.GrilledPepper.DisplayName,Gegrillte Paprika,
Good.GrilledPepper.PluralDisplayName,Gegrillte Paprika,
Good.ApplePie.DisplayName,Apfelkuchen,
Good.ApplePie.PluralDisplayName,Apfelkuchen,
Good.Cornbread.DisplayName,Maisgebäck,
Good.Cornbread.PluralDisplayName,Maisgebäck,
Good.BakedBeetroot.DisplayName,Gebackene Rüben,
Good.BakedBeetroot.PluralDisplayName,Gebackene Rüben,
Good.StuffedPepper.DisplayName,Gefüllte Paprika,
Good.StuffedPepper.PluralDisplayName,Gefüllte Paprika,
Good.Fuel.DisplayName,Treibstoff,
Good.Fuel.PluralDisplayName,Treibstoff,
Good.Lubricant.DisplayName,Schmiermittel,
Good.Lubricant.PluralDisplayName,Schmiermittel,
Manufactory.Recipe.FuelRadish,Treibstoff (Radieschen),
Manufactory.Recipe.FuelBeetroot,Brennstoff (Rüben),
Manufactory.Recipe.FuelCanola,Treibstoff (Rapssamen),
Manufactory.Recipe.FuelCorn,Brennstoff (Mais),
Manufactory.Recipe.FuelBadwater,Treibstoff (Faulwasser),
Building.HalfRoof1x1.DisplayName,Halbdach 1x1,
Building.HalfRoof1x2.DisplayName,Halbdach 1x2,
Building.HalfRoof2x1.DisplayName,Halbdach 2x1,
Building.HalfRoof2x2.DisplayName,Halbdach 2x2,
Building.Lodge.Emberpelts.FlavorDescription,Eine Hütte war einfach nur eine Hütte.,
Building.BigLodge.DisplayName,Große Hütte,
Building.BigLodge.Description,Dreimal so groß wie die Hütte.,
Building.BigLodge.FlavorDescription,Jede Menge Platz.,
Building.VerticalLodge.DisplayName,Vertikale Hütte,
Building.VerticalLodge.Description,Eine nach oben gebaute Hütte,
Building.VerticalLodge.FlavorDescription,Der Himmel ist die Grenze!,
Building.DoubleVerticalLodge.DisplayName,Doppelte vertikale Hütte,
Building.DoubleVerticalLodge.Description,"Es ist, als ob zwei davon übereinander liegen.",
Building.DoubleVerticalLodge.FlavorDescription,Größer! Höher!,
Building.TenementLodge.DisplayName,Miethütte,
Building.TenementLodge.Description,Ein sehr großer und hoher Ort zum Übernachten.,
Building.TenementLodge.FlavorDescription,Versuche die Bude nicht ab zu brennen!,
Building.Press.DisplayName,Presse,
Building.Press.Description,Presst Öl oder Saft aus geeigneten Pflanzen.,
Building.Press.FlavorDescription,"Neugierige Kitten benutzen ihn, um alles von Keksen bis zu Tannenzapfen zu zerquetschen.",
Building.Path2.DisplayName,Pfad mit Geländer,
Building.Path2.Description,Diese Pfadvariante ist immer mit Geländer ausgestattet.,
Building.Path3.DisplayName,Holzpfad,
Building.Path3.Description,Diese Pfadvariante ist aus Holz.,
Building.Path4.DisplayName,Holzpfad ohne Geländer,
Building.Path4.Description,Diese Pfadvariante ist niemals mit Geländer ausgestattet.,
Building.Path5.DisplayName,Holzpfad mit Geländer,
Building.Path5.Description,Diese Pfadvariante ist immer mit Geländer ausgestattet.,
Building.AutomatedWaterPump.DisplayName,Automatisierte Wasserpumpe,
Building.AutomatedWaterPump.FlavorDescription,Keine Biber erforderlich!,
Building.ClayPit.DisplayName,Tongrube,
Building.ClayPit.Description,Eine markierte Stelle zum Sammeln von Ton,
Building.ClayPit.FlavorDescription,Es ist eine schmutzige Angelegenheit.,
Building.Kiln.DisplayName,Ofen,
Building.Kiln.Description,Stellt Holzkohle aus Holzstämmen und Ziegel aus Lehm her.,
Building.Kiln.FlavorDescription,"Brenn, Baby!",
Building.SmallEngine.DisplayName,Kleiner Motor,
Building.SmallEngine.FlavorDescription,"Eine großartige Erfindung, die Eisenzähne haben wahrscheinlich unser Design kopiert.",
Building.Engine.Emberpelts.FlavorDescription,Die Verbrennung von Kohle erfordert eine verbesserte Konstruktion.,
Building.FuelEngine.DisplayName,Flüssigtreibstoffmotor,
Building.FuelEngine.FlavorDescription,Flüssiger Brennstoff ist für die Stromerzeugung sogar noch wirksamer.,
Building.PowerShaftVerticalTIntersection.DisplayName,Vertikale T-Kreuzung der Antriebswelle,
Building.PowerShaftUpwardTIntersection.DisplayName,Aufwärts gerichtete T-Kreuzung der Antriebswelle,
Building.PowerShaftDownwardTIntersection.DisplayName,Abwärts gerichtete T-Kreuzung der Antriebswelle,
Building.DecorativeFloor.DisplayName,Dekorativer Boden,
Building.DecorativeFloor.Description,Rein dekorative Bodenverkleidung.,
Building.LargeUndergroundTank.DisplayName,Unterirdischer Tank,
Building.UndergroundWarehouse.DisplayName,Unterirdisches Lagerhaus,
Building.IndustrialPile.DisplayName,Industrieller Stapel,
Building.TubewayStation.Small.DisplayName,Kleine Rohrbahnstation,
Building.TubewayLevee.DisplayName,Rohrbahndeich,
NaturalResource.AppleTree.DisplayName,Apfelbaum,
NaturalResource.AppleTree.FlavorDescription,Die Samen wurden von Reisenden aus fernen Ländern mitgebracht.,
NaturalResource.Beetroot.DisplayName,Zuckerrüben,
NaturalResource.Beetroot.FlavorDescription,"Lila. Schmeckt gut, wenn es in Öl gekocht und mit Sirup überzogen wird.",
NaturalResource.Pepper.DisplayName,Paprika,
NaturalResource.Pepper.FlavorDescription,Nur die Mutigen essen es roh.,
NaturalResource.Radish.DisplayName,Radieschen,
NaturalResource.Radish.FlavorDescription,Bitter. Wahrscheinlich wäre Ihnen eine Karotte lieber.,
NaturalResource.Tomato.DisplayName,Tomate,
NaturalResource.Tomato.FlavorDescription,Saftig,
Need.Fire.DisplayName,Feuer,
Need.DryFur.DisplayName,Trockenes Fell,
ToolGroups.Clay,Ton,
ToolGroups.Platforms,Plattformen und Überhänge,
ToolGroups.Industry,Industrie,
ToolGroups.Bridges,Brücken,
Building.Wonder.Emberpelts.DisplayName,Feuerwunder,
Building.Wonder.Emberpelts.Description,Verstreut Ressourcen auf der Erde. Der Start macht die Biber in dem Bereich besonders glücklich.,
Building.Wonder.Emberpelts.FlavorDescription,Sieht aus wie eine große Feuerstelle.,
Faction.Emberpelts.WonderCompletionFlavor,"Deine Biber haben viel Reichtum und Wissen gesammelt und die Früchte ihrer Arbeit mit dem angeschlagenen Planeten geteilt. Unglücklicherweise ging alles in Flammen auf. Wenigstens haben deine Biber gesehen, wie Dinge brennen!",
Faction.Emberpelts.WonderCompletionMessage,Glückwunsch! Du hast die Methoden der Glutpelze gemeistert und das Wunder der Fraktion mit den Ressourcen dieser Karte gebaut.,
Building.LumberMill.Large.DisplayName,Großes Sägewerk,
Building.Smelter.Large.DisplayName,Große Schmelzerei,
Building.GearWorkshop.Large.DisplayName,Große Zahnradwerkstatt,
Good.PhoenixEssence.DisplayName,Phönixessenz,
Good.PhoenixEssence.PluralDisplayName,Phönixessenz,
Need.Juice.DisplayName,Saft,
Building.Floodgate.Flat.DisplayName,Flache Schleuse,
Building.DoubleFloodgate.Flat.DisplayName,Flache Doppelschleuse,
Building.TripleFloodgate.Flat.DisplayName,Flache Dreifachschleuse,
Building.Floodgate.Flat.Description,"Staut Wasser bis zu einer einstellbaren Höhe. Ein neues, kompakteres Design, das es ermöglicht, darüber zu bauen.",
Building.PhoenixDistillery.DisplayName,Phönixdestillerie,
Building.PhoenixDistillery.Description,Stellt Phönixessenz her.,
Manufactory.Recipe.BadwaterRig.PurifiedWater,Trinkwasser,
Manufactory.Recipe.BadwaterRig.ForcedExtraction,Faulwasser (effizient),
Building.SkyBridge.DisplayName,Hüttenbrücke,
Building.SkyBridge.Description,Ein Weg zwischen den Hütten.,
Building.SkyBridgeEntrance.DisplayName,Hüttenbrückeneingang,
Building.SkyBridgeEntrance.Description,Fügt Hütten einen Einang zu.,
Building.DistrictCrossingTubeway.DisplayName,Rohrbahnbezirksknotenpunkt,
Building.DistrictGateTubeway.DisplayName,Rohrbahnbezirksübergang,
Building.DistrictGateTubeway.Description,Eine Rohrbahnverbindung zwischen Bezirken.,
Building.DistrictGate.Description,Trennt Bezirke.,
Building.DistrictGate.DisplayName,Bezirksübergang,
Building.DistrictGate.FlavorDescription,"Bevor ihr euch auf den Weg macht, müsst ihr eure Vorräte auffüllen.",
Building.TubewaySkyBridge.DisplayName,Hüttenbrückerohrbahn,
Building.TubewaySkyBridge.Description,Verbindet Hüttenbrücke mit Rohrbahn.,
Building.SkyBridgeStairs.DisplayName,Hüttenbrücketreppe,
Building.SkyBridgeLadder.DisplayName,Hüttenbrückeleiter,
Building.SkyBridgeBridge.DisplayName,Hüttenbrücke,
Building.TubewayBridge.DisplayName,Rohrbahnbrücke,
