ID,Text,Comment
Faction.Emberpelts.DisplayName,Fourrures ardentes,Nom d’une faction
Faction.Charcoal.DisplayName,Charbon de bois,
Faction.Emberpelts.Description,"Les Fourrures ardentes ont une affinité pour la couleur rouge et aiment rester au chaud. Parfois, ils aiment juste regarder les choses brûler.
Ils n’aiment pas se mouiller la fourrure.
Leur devise : <i>Cœurs de feu.</i>",Description d’une faction de castors
Bot.DisplayName.Emberpelts,Emberbot {0},Nom du bot
Good.Brick.DisplayName,Brique,Nom de l’objet
Good.Brick.PluralDisplayName,Briques,Nom pluriel de l’objet
Good.Clay.DisplayName,Argile,Nom de l’objet
Good.Clay.PluralDisplayName,Argiles,Nom pluriel de l’objet
Good.Coal.DisplayName,Charbon de bois,Nom de l’objet
Good.Coal.PluralDisplayName,Charbon de bois,Nom pluriel de l’objet
Good.Apple.DisplayName,Pomme,Nom de l’objet
Good.Apple.PluralDisplayName,Pommes,Nom pluriel de l’objet
Good.AppleJuice.DisplayName,Jus de pomme,Nom de l’objet
Good.AppleJuice.PluralDisplayName,Jus de pomme,Nom pluriel de l’objet
Good.Radish.DisplayName,Radis,
Good.Radish.PluralDisplayName,Radis,
Good.Tomato.DisplayName,Tomate,
Good.Tomato.PluralDisplayName,Tomates,
Good.TomatoJuice.DisplayName,Jus de tomate,
Good.TomatoJuice.PluralDisplayName,Jus de tomate,
Good.Beetroot.DisplayName,Betterave,
Good.Beetroot.PluralDisplayName,Betteraves,
Good.RedJuice.DisplayName,Jus de betterave et radis,
Good.RedJuice.PluralDisplayName,Jus de betterave et radis,
Good.CornJuice.DisplayName,Jus de maïs,
Good.CornJuice.PluralDisplayName,Jus de maïs,
Good.Pepper.DisplayName,Poivron,
Good.Pepper.PluralDisplayName,Poivrons,
Good.Cornmeal.DisplayName,Farine de maïs,
Good.Cornmeal.PluralDisplayName,Semoule de maïs,
Good.GrilledCorn.DisplayName,Maïs grillé,
Good.GrilledCorn.PluralDisplayName,Maïs grillés,
Good.GrilledPepper.DisplayName,Poivron grillé,
Good.GrilledPepper.PluralDisplayName,Poivrons grillés,
Good.ApplePie.DisplayName,Tarte aux pommes,
Good.ApplePie.PluralDisplayName,Tartes aux pommes,
Good.Cornbread.DisplayName,Pain au maïs,
Good.Cornbread.PluralDisplayName,Pain au maïs,
Good.BakedBeetroot.DisplayName,Betterave cuite,
Good.BakedBeetroot.PluralDisplayName,Betteraves cuites,
Good.StuffedPepper.DisplayName,Poivron farci,
Good.StuffedPepper.PluralDisplayName,Poivrons farcis,
Good.Fuel.DisplayName,Carburant,
Good.Fuel.PluralDisplayName,Carburant,
Good.Lubricant.DisplayName,Lubrifiant,
Good.Lubricant.PluralDisplayName,Lubrifiant,
Manufactory.Recipe.FuelRadish,Carburant (radis),
Manufactory.Recipe.FuelBeetroot,Carburant (betterave),
Manufactory.Recipe.FuelCanola,Carburant (graines de colza),
Manufactory.Recipe.FuelCorn,Carburant (maïs),
Manufactory.Recipe.FuelBadwater,Carburant (eau polluée),
Building.HalfRoof1x1.DisplayName,Demi-toit 1x1,
Building.HalfRoof1x2.DisplayName,Demi-toit 1x2,
Building.HalfRoof2x1.DisplayName,Demi-toit 2x1,
Building.HalfRoof2x2.DisplayName,Demi-toit 2x2,
Building.Lodge.Emberpelts.FlavorDescription,Un pavillon n’était qu’un pavillon.,
Building.BigLodge.DisplayName,Grand pavillon,
Building.BigLodge.Description,Trois fois la taille du pavillon.,
Building.BigLodge.FlavorDescription,Beaucoup d’espace.,
Building.VerticalLodge.DisplayName,Pavillon vertical,
Building.VerticalLodge.Description,Un pavillon construit vers le haut,
Building.VerticalLodge.FlavorDescription,Vers l'infini et au-delà,
Building.DoubleVerticalLodge.DisplayName,Pavillon vertical double,
Building.DoubleVerticalLodge.Description,C’est comme deux d’entre eux l’un sur l’autre.,
Building.DoubleVerticalLodge.FlavorDescription,Plus grand ! Plus haut !,
Building.TenementLodge.DisplayName,Gîte,
Building.TenementLodge.Description,Un endroit très grand et haut pour passer la nuit.,
Building.TenementLodge.FlavorDescription,Essaye de ne pas réduire l'endroit en cendres.,
Building.Press.DisplayName,Presse,
Building.Press.Description,Presse l’huile ou le jus des plantes appropriées.,
Building.Press.FlavorDescription,Les castoreaux curieux l’utilisent pour écraser n’importe quoi, des cookies aux pommes de pin.,
Building.Path2.DisplayName,Chemin avec rambardes,
Building.Path2.Description,Cette version de chemin a toujours des rambardes.,
Building.Path3.DisplayName,Chemin en bois,
Building.Path3.Description,Cette version de chemin est faite en bois.,
Building.Path4.DisplayName,Chemin en bois sans rambardes,
Building.Path4.Description,Cette version de chemin est faite en bois et n’a jamais de rambardes.,
Building.Path5.DisplayName,Chemin en bois avec rambardes,
Building.Path5.Description,Cette version de chemin est faite en bois et a toujours des rambardes.,
Building.AutomatedWaterPump.DisplayName,Pompe à eau automatisée,
Building.AutomatedWaterPump.FlavorDescription,Aucun castor requis !,
Building.ClayPit.DisplayName,Carrière d'argile,
Building.ClayPit.Description,Un site dédié pour récolter de l’argile,
Building.ClayPit.FlavorDescription,C'est un travail de cochon.,
Building.Kiln.DisplayName,Fourneau,
Building.Kiln.Description,Transforme les bûches en charbon de bois et l’argile en briques.,
Building.Kiln.FlavorDescription,Brûle bébé !,
Building.SmallEngine.DisplayName,Petit moteur à bois,
Building.SmallEngine.FlavorDescription,Une grande invention, Les Dents de Fer a probablement copié notre conception.,
Building.Engine.Emberpelts.FlavorDescription,La combustion du charbon nécessite une conception améliorée.,
Building.FuelEngine.DisplayName,Moteur à carburant liquide,
Building.FuelEngine.FlavorDescription,Le carburant liquide est encore plus puissant pour générer de l’énergie.,
Building.PowerShaftVerticalTIntersection.DisplayName,Arbre de transmission vertical en T,
Building.PowerShaftUpwardTIntersection.DisplayName,Arbre de transmission en T vers le haut,
Building.PowerShaftDownwardTIntersection.DisplayName,Arbre de transmission en T vers le bas,
Building.DecorativeFloor.DisplayName,Plancher décoratif,
Building.DecorativeFloor.Description,Revêtement de sol purement décoratif.,
Building.LargeUndergroundTank.DisplayName,Cuve souterraine,
Building.UndergroundWarehouse.DisplayName,Entrepôt souterrain,
Building.IndustrialPile.DisplayName,Tas industriel,
Building.TubewayStation.Small.DisplayName,Petite station de tuyaux,
Building.TubewayLevee.DisplayName,Digue de tuyau,
NaturalResource.AppleTree.DisplayName,Pommier,
NaturalResource.AppleTree.FlavorDescription,Les graines ont été apportées par des voyageurs de terres lointaines.,
NaturalResource.Beetroot.DisplayName,Betterave,
NaturalResource.Beetroot.FlavorDescription,Violette. A bon goût une fois cuite dans l’huile et recouverte de sirop.,
NaturalResource.Pepper.DisplayName,Poivron,
NaturalResource.Pepper.FlavorDescription,Seuls les courageux le mangent cru.,
NaturalResource.Radish.DisplayName,Radis,
NaturalResource.Radish.FlavorDescription,Amer. Vous préféreriez probablement une carotte.,
NaturalResource.Tomato.DisplayName,Tomate,
NaturalResource.Tomato.FlavorDescription,Juteuse,
Need.Fire.DisplayName,Feu,
Need.DryFur.DisplayName,Fourrure sèche,
ToolGroups.Clay,Argile,
ToolGroups.Platforms,Plateformes et surplombs,
ToolGroups.Industry,Industries,
ToolGroups.Bridges,Ponts,
Building.Wonder.Emberpelts.DisplayName,Merveille de feu,
Building.Wonder.Emberpelts.Description,Distribue les ressources à travers la Terre. Lorsqu’elle est lancée, rend les castors de la zone extrêmement heureux.,
Building.Wonder.Emberpelts.FlavorDescription,Pour moi, cela ressemble à un grand feu de joie.,
Faction.Emberpelts.WonderCompletionFlavor,"Ayant accumulé richesse et savoir, vos castors ont tenté de partager les fruits de leur travail avec la planète souffrante. Malheureusement, tout est parti en fumée. Au moins, vos castors ont pu voir les flammes !",
Faction.Emberpelts.WonderCompletionMessage,Félicitations ! Vous avez maîtrisé les Fourrures Ardentes et utilisé les ressources de cette carte pour construire la merveille de la faction.,
Building.LumberMill.Large.DisplayName,Grande scierie,
Building.Smelter.Large.DisplayName,Grande fonderie,
Building.GearWorkshop.Large.DisplayName,Grand atelier d’engrenages,
Good.PhoenixEssence.DisplayName,Essence Phénix,
Good.PhoenixEssence.PluralDisplayName,Essence Phénix,
Need.Juice.DisplayName,Jus,
Building.Floodgate.Flat.DisplayName,Barrage ajustable,
Building.DoubleFloodgate.Flat.DisplayName,Barrage double ajustable,
Building.TripleFloodgate.Flat.DisplayName,Barrage triple ajustable,
Building.Floodgate.Flat.Description,Bloque l’eau jusqu’à une hauteur ajustable. Un nouveau design plus compact pour permettre de construire dessus.,
Building.PhoenixDistillery.DisplayName,Distillerie de Phénix,
Building.PhoenixDistillery.Description,Pour la production d’essence Phénix,
Manufactory.Recipe.BadwaterRig.PurifiedWater,Eau purifiée,
Manufactory.Recipe.BadwaterRig.ForcedExtraction,Extraction forcée d’eau polluée,
Building.SkyBridge.DisplayName,Passerelle,
Building.SkyBridge.Description,Une passerelle pour circuler entre les pavillons.,
Building.SkyBridgeEntrance.DisplayName,Entrée de passerelle,
Building.SkyBridgeEntrance.Description,Ajoute une porte à la passerelle. Cela permet aux castors de passer entre les chemins et la passerelle.,
Building.DistrictCrossingTubeway.DisplayName,Tuyau traversant le district,
Building.DistrictGateTubeway.DisplayName,Tuyau de porte du district,
Building.DistrictGateTubeway.Description,Une connexion de tuyaux pour aller entre les districts,
Building.DistrictGate.Description,Sépare les districts.,
Building.DistrictGate.DisplayName,Porte du district,
Building.DistrictGate.FlavorDescription,Vous devez rassembler vos fournitures avant de partir.,
Building.TubewaySkyBridge.DisplayName,Connexion passerelle de tuyaux,
Building.TubewaySkyBridge.Description,Une connexion de tuyaux pour la passerelle des pavillons. Cela permet aux castors de passer entre les tuyaux et la passerelle.,
Building.SkyBridgeStairs.DisplayName,Escaliers de la passerelle aérienne,
Building.SkyBridgeLadder.DisplayName,Échelle de la passerelle aérienne,
Building.SkyBridgeBridge.DisplayName,Pont de la passerelle aérienne,
Building.TubewayBridge.DisplayName,Pont de tuyaux,
Building.TubewayLeveeTunnel.DisplayName,Tunnel de digue de tuyau,
Building.TubewayTunnel.DisplayName,Tunnel de tuyau,
Building.TunnelOther.Description,"Creuse à travers le terrain, le remplaçant par un autre bâtiment. Utilisez l’outil de calque pour voir sous le terrain ou les structures.",
Building.VerticalPowerShaftTunnel.DisplayName,Tunnel d’arbre de transmission vertical,
Building.DistrictCenter.FlavorDescription.Emberpelts,"""Cœurs de feu."" — Devise des Emberpelts",La devise doit être la même que dans Faction.Emberpelts.Description
