ID,Text,Comment
Faction.Emberpelts.DisplayName,Пылающие шерстки,Name of a faction;;;;;;;;;;;;;;Огненные бобры or Пылающие бобры but I like Пылающие шерстки  it sounds so cute;;;;;;;;;;
Faction.Emberpelts.Description,"Пылающие шерстки близки к красному цвету и предпочитают оставаться в тепле. Иногда им нравится наблюдать за тем, как что-то горит.
Они не любят, когда их мех намокает.
Их девиз: <i>Огненные серда.</i>",Description of a beaver faction
Bot.DisplayName.Emberpelts,Эмбербот {0},Bot name;;;;;;;or Шерстяной бот but it sounds very funny;;;;;;;;;;;;;;;;;
Good.Brick.DisplayName,Кирпич,Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.Brick.PluralDisplayName,Кирпичи,Plural Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.Clay.DisplayName,Глина,Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.Clay.PluralDisplayName,Глина,Plural Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.Coal.DisplayName,Древесный уголь,Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.Coal.PluralDisplayName,Древесный уголь,Plural Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.Apple.DisplayName,Яблоко,Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.Apple.PluralDisplayName,Яблоки,Plural Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.AppleJuice.DisplayName,Яблочный сок,Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.AppleJuice.PluralDisplayName,Яблочный сок,Plural Item Name;;;;;;;;;;;;;;;;;;;;;;;;
Good.Radish.DisplayName,Редис,;;;;;;;;;;;;;;or Редиска or Редька so how do you prefer;;;;;;;;;;
Good.Radish.PluralDisplayName,Редисы,;;;;;;;;;;;;;;or Редиски or Редьки;;;;;;;;;;
Good.Tomato.DisplayName,Томат,;;;;;;;;;;;;;;or Помидор;;;;;;;;;;
Good.Tomato.PluralDisplayName,Томаты,;;;;;;;;;;;;;;or Помидоры;;;;;;;;;;
Good.TomatoJuice.DisplayName,Томатный сок,;;;;;;;;;;;;;;;;;;;;;;;;
Good.TomatoJuice.PluralDisplayName,Томатный сок,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Beetroot.DisplayName,Свекла,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Beetroot.PluralDisplayName,Свеклы,;;;;;;;;;;;;;;;;;;;;;;;;
Good.RedJuice.DisplayName,Свекольный и редисовый соки,;;;;;;;;;;;;;;;;;;;;;;;;
Good.RedJuice.PluralDisplayName,Свекольный и редисовый соки,;;;;;;;;;;;;;;;;;;;;;;;;
Good.CornJuice.DisplayName,Кукурузный сок,;;;;;;;;;;;;;;;;;;;;;;;;
Good.CornJuice.PluralDisplayName,Кукурузный сок,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Pepper.DisplayName,Болгарский перец,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Pepper.PluralDisplayName,Болгарские перцы,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Cornmeal.DisplayName,Кукурузная мука,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Cornmeal.PluralDisplayName,Кукурузная мука,;;;;;;;;;;;;;;;;;;;;;;;;
Good.GrilledCorn.DisplayName,Кукуруза на гриле,;;;;;;;;;;;;;;;;;;;;;;;;
Good.GrilledCorn.PluralDisplayName,Кукуруза на гриле,;;;;;;;;;;;;;;;;;;;;;;;;
Good.GrilledPepper.DisplayName,Болгарский перец на гриле,;;;;;;;;;;;;;;;;;;;;;;;;
Good.GrilledPepper.PluralDisplayName,Болгарские перцы на гриле,;;;;;;;;;;;;;;;;;;;;;;;;
Good.ApplePie.DisplayName,Яблочный пирог,;;;;;;;;;;;;;;;;;;;;;;;;
Good.ApplePie.PluralDisplayName,Яблочные пироги,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Cornbread.DisplayName,Кукурузный хлеб,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Cornbread.PluralDisplayName,Кукурузные хлебы,;;;;;;;;;;;;;;;;;;;;;;;;
Good.BakedBeetroot.DisplayName,Запеченная свёкла,;;;;;;;;;;;;;;;;;;;;;;;;
Good.BakedBeetroot.PluralDisplayName,Запеченные свёклы,;;;;;;;;;;;;;;;;;;;;;;;;
Good.StuffedPepper.DisplayName,Фаршированный перец,;;;;;;;;;;;;;;;;;;;;;;;;
Good.StuffedPepper.PluralDisplayName,Фаршированные перцы,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Fuel.DisplayName,Топливо,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Fuel.PluralDisplayName,Топливо,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Lubricant.DisplayName,Смазка,;;;;;;;;;;;;;;;;;;;;;;;;
Good.Lubricant.PluralDisplayName,Смазки,;;;;;;;;;;;;;;;;;;;;;;;;
Manufactory.Recipe.FuelRadish,Топливо (Редис),;;;;;;;;;;;;;;;;;;;;;;;;
Manufactory.Recipe.FuelBeetroot,Топливо (Свёкла),;;;;;;;;;;;;;;;;;;;;;;;;
Manufactory.Recipe.FuelCanola,Топливо (Семена рапса),;;;;;;;;;;;;;;;;;;;;;;;;
Manufactory.Recipe.FuelCorn,Топливо (Кукуруза),;;;;;;;;;;;;;;;;;;;;;;;;
Manufactory.Recipe.FuelBadwater,Топливо (плохая вода),;;;;;;;;;;;;;;;;;;;;;;;;
Building.HalfRoof1x1.DisplayName,Половина крыши 1x1,;;;;;;;;;;;;;;;;;;;;;;;;
Building.HalfRoof1x2.DisplayName,Половина крыши 1x2,;;;;;;;;;;;;;;;;;;;;;;;;
Building.HalfRoof2x1.DisplayName,Половина крыши 2x1,;;;;;;;;;;;;;;;;;;;;;;;;
Building.HalfRoof2x2.DisplayName,Половина крыши 2x2,;;;;;;;;;;;;;;;;;;;;;;;;
Building.Lodge.Emberpelts.FlavorDescription,Хижина есть хижина.,;;;;;;;;;;;;;;;;;;;;;;;;
Building.BigLodge.DisplayName,Большая хижина,;;;;;;;;;;;;;;;;;;;;;;;;
Building.BigLodge.Description,Втрое больше обычной хижины.,;;;;;;;;;;;;;;or В 3 раза больше стандартной хижины;;;;;;;;;;
Building.BigLodge.FlavorDescription,Места хватит всем.,;;;;;;;;;;;;;;or Много места;;;;;;;;;;
Building.VerticalLodge.DisplayName,Вертикальная хижина,;;;;;;;;;;;;;;;;;;;;;;;;
Building.VerticalLodge.Description,"Хижина, построенная вверх.",;;;;;;;;;;;;;;;;;;;;;;;;
Building.VerticalLodge.FlavorDescription,Нет предела высоте!,;;;;;;;;;;;;;;;;;;;;;;;;
Building.DoubleVerticalLodge.DisplayName,Двойная вертикальная хижина,;;;;;;;;;;;;;;;;;;;;;;;;
Building.DoubleVerticalLodge.Description,"Словно две хижины, поставленные одна на другую.",;;;;;;;;;;;;;;;;;;;;;;;;
Building.DoubleVerticalLodge.FlavorDescription,Больше! Выше!,;;;;;;;;;;;;;;;;;;;;;;;;
Building.TenementLodge.DisplayName,Многоквартирная хижина,;;;;;;;;;;;;;;;;;;;;;;;;
Building.TenementLodge.Description,Очень большое и высокое место для ночлега.,;;;;;;;;;;;;;;;;;;;;;;;;
Building.TenementLodge.FlavorDescription,Постарайтесь не спалить место дотла.,;;;;;;;;;;;;;;;;;;;;;;;;
Building.Press.DisplayName,Пресс,;;;;;;;;;;;;;;;;;;;;;;;;
Building.Press.Description,Выжимает масло или сок из подходящих растений.,;;;;;;;;;;;;;;;;;;;;;;;;
Building.Press.FlavorDescription,"Любопытные бобрята используют его, чтобы измельчить в нём всё подряд — от печенья дососновых шишек.",;;;;;;;;;;;;;;;;;;;;;;;;
