ID,Text,Comment
HR,======================================================================,
Floodgates.Triggers.Empty," ",
Tobbert.Ladder.DisplayName,"Ladder",
Luc.crappyWaterWheel.DisplayName,"Crappy Water Wheel",
Lapantouflemagic.Statue_PAIN.DisplayName,"Painful Statue",
Lapantouflemagic.TallPlatform.DisplayName,"Tall Platform",
Lapantouflemagic.BOTDistrictCrossing.DisplayName,"Bot's District Crossing",
Lapantouflemagic.primitivedam3x2upgrade.DisplayName,"Primitive Dam 3x2 Upgrade",
Lapantouflemagic.primitivedam3x3upgrade.DisplayName,"Primitive Dam 3x3 Upgrade",
Lapantouflemagic.primitivedam3x3variantupgrade.DisplayName,"Primitive Dam 3x3 Variant Upgrade",
HR,======================================================================,
Need.SoggyFur.DisplayName,Soggy Fur,
Need.SoggyFur.PluralDisplayName,Soggy Fur,
HR,======================================================================,
Good.OmniCure.DisplayName,OmniCure,
Good.OmniCure.PluralDisplayName,OmniCures,
Lapantouflemagic.Billboard1.DisplayName,Billboard 1,
Lapantouflemagic.SevereInjury.DeathMessage,Died of a severe injury,Poor sod
Lapantouflemagic.BachelorInHoomanities.DisplayName,Bachelor in Hoomanities,
HR,======================================================================,
CameraGoalsText,"The Camera",
StatesGoalsText.Freezing,"Pausing/Resuming the Game",
LayersGoalsText,"Layers of the Map",
StatusGoalsText.Panels,"Panels of Information",
GoalsText.Basics.Resume,"Resuming and Speeding things up",
RushedGoalText,"Preparing to survive",
GoalsText.Basics.Shortcuts,"Shortcuts",
GoalsText.Faction.StableGreenland,"Stable Greenland",
GoalsText.Faction.Explosives,"Explosives",
GoalsText.Faction.Population,"Population Growth",
GoalsText.Faction.Survival,"Survival",
RemarkGoalsText.Congrats,"Congrats",
RemarkGoalsText.Scarper,"No more Guidance",
RemarkGoalsText.Welcome,"Welcome to Timberborn!",
HR,======================================================================,
CameraGoalText.Move,"Now try moving your camera",
CameraGoalText.Spin,"Now try rotating your camera",
CameraGoalText.Zoom,"Now try zooming in & out of the map",
LayersGoalText.TryClick,"You can hide & show layers with the top right tools",
LayersGoalText.TryWheel,"You can also hide & show layers with the mousewheel",
RemarkGoalText.Badtides,"You just survived your first bad tide! Don't get cocky here either, they also normally get longer over time }:D",
RemarkGoalText.Droughts,"You just survived your first drought! Don't get too cocky though, they normally get longer over time :D",
RemarkGoalText.Scarper,"We've no more goals to give you so we're scarpering, have fun! :)",
RemarkGoalText.ShiftAltX,"Try pressing [shift]+[alt]+[x] (default) to enabled debug mode, this is mainly useful for getting XYZ coords of any give map cell. This is intended just for the devs and modders so don't bother reporting issues you have with it, you'll just get ignored",
RemarkGoalText.ShiftAltZ,"Try pressing [shift]+[alt]+[z] (default) to enabled developer mode, this is mainly useful for trying out ideas... or at least turning off that poxy fog XD. This is intended just for the devs and modders so don't bother reporting issues you have with it, you'll just get ignored",
RemarkGoalText.TAB,"Try holding [tab] (default) once you've placed some storage, it's an easy way to see what is storing what. You can even click on their icons to change what they store :D",
RemarkGoalText.Welcome,"To help you get started we've a bunch of goals for you to fulfill",
RemarkGoalText.X,"Try holding [x] (default) for the ruler overlay",
FactionGoalText.BuildDam,"Build some Dams as far downstream as you can, pick the spot that uses at least as many slots as there are water sources feeding your river to prevent flooding",
FactionGoalText.BuildDecor,"Build decor on/near your housing to maximise it's effect on your cologny's wellbeing",
FactionGoalText.BuildHangouts,"Build a Hangout or two for beavers to socialise in, don't want them to become introverts like us now do we? XD",
FactionGoalText.BuildMedicalBeds,"Build Medical Beds ready to take injured beavers",
FactionGoalText.LowerWorkHours,"Lower the work hours now so that beavers have time to fill pods and/or uh, 'dote' on each other",
FactionGoalText.StartHauling,"Get haulers to do the leg work",
FactionGoalText.StartPlantingFood,"Start planting Food",
FactionGoalText.StartPlantingTrees,"Start planting Trees",
FactionGoalText.StartShiftingLand,"Remove some land from your way",
FactionGoalText.StartSpillingWater,"Start dumping Water",
FactionGoalText.StartStockingFood,"Start a fallback Food storage",
FactionGoalText.StartStockingLogs,"Start storing Logs",
FactionGoalText.StartStockingWater,"Start storing Water",
FactionGoalText.StartYieldingBadwater,"Start collecting Badwater",
FactionGoalText.StartYieldingBeavers,"Start raising Beavers",
FactionGoalText.StartYieldingBerries,"Start collecting Berries",
FactionGoalText.StartYieldingBots,"Start making Bots",
FactionGoalText.StartYieldingBotParts,"Start making Bot Parts",
FactionGoalText.StartYieldingServents,"Start making Servents",
FactionGoalText.StartYieldingServentParts,"Start making Servent Parts",
FactionGoalText.StartYieldingEquipment,"Start producing Equipment often used to remove land",
FactionGoalText.StartYieldingVolatiles,"Start collecting Volatiles often used to remove land",
FactionGoalText.StartYieldingFood,"Start collecting Food",
FactionGoalText.StartYieldingGears,"Start producing Gears",
FactionGoalText.StartYieldingLogs,"Start collecting Logs",
FactionGoalText.StartYieldingMetalBlocks,"Start producing Metal Blocks",
FactionGoalText.StartYieldingMetalParts,"Start producing Metal Parts",
FactionGoalText.StartYieldingPineResin,"Start collecting Pine Resin",
FactionGoalText.StartYieldingPlanks,"Start producing Planks",
FactionGoalText.StartYieldingScrapMetal,"Start collect Scrap Metal",
FactionGoalText.StartYieldingResearch,"Start collecting Research (Science Points)",
FactionGoalText.StartYieldingLocalBasics,"Start producing Local Building Materials",
FactionGoalText.StartYieldingWater,"Start collecting water",
FactionGoalText.PlaceWonder,"Start building the Wonder",
FactionGoalText.RaiseAllowedHaulers,"Increase the number of haulers allowed to work here so that your cologny runs smoother",
FactionGoalText.YieldEvenMoreBeavers,"It's time to increase your beavers, you're gonna need them soon",
FactionGoalText.YieldEvenMoreWater,"Collect more water to outpace water consumption and fill those tanks",
FactionGoalText.StockEvenMoreWater,"A few small tanks won't be enough for your growing cologny, build bigger storage then replace the old storage",
RushedGoalText.PlaceLoggingMarkers,"Mark which trees you want your Lumberjacks to cut down, we suggest leaving those on the edge of greenland (away from the river) alone, you'll need them to spawn new ones until you can plant them",
RushedGoalText.PlaceGatherer,"Pop down a Gatherer to start gathering the available berries",
RushedGoalText.PlaceLoggers,"Pop down a couple of Lumberjack Flags to start logging with",
RushedGoalText.PlacePlantation,"Pop down a Food Plantation",
RushedGoalText.PlaceFoodStorage,"Pop down storage for Food",
RushedGoalText.PlaceWaterStorage,"Pop down storage for Water",
RushedGoalText.PlaceWaterPumps,"Pop down a Water Pump ready to build when you resume game play",
RushedGoalText.RaiseWorkHours,"At the cost of more consumption and lower life expetancy, raise the working hours for now. You'll find it in the top right",
StatusGoalText.Beavers,"Here you'll find what work is being done by who in the district. If no District Center is selected then it will display all districts",
StatusGoalText.BeaverWellbeing,"Let's select a beaver by clicking it",
StatusGoalText.Beaver,"Here you'll find your selected beaver's needs, life expetancy and other details",
StatusGoalText.FactionWellbeing,"Here you'll find the average state of your selected district's needs, if no District Center are selected then it'll show the average of all districts",
StatesGoalText.Freezing,"Start by pausing the game if you haven't already done so",
StatesGoalText.Resuming,"You can resume with the same key you paused but you can also resume while adjusting how much Timberborn tries to cram into a single second using >>>, >> and >. Give them a try",
