ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Automation,
Calloatti.AutoTools.DeviceState,Device State,
Calloatti.AutoTools.InputTransmitter,Input: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Open Automation Tab,
Calloatti.AutoTools.KeyBind.Toggle.Map,Toggle Automation Map,
Calloatti.AutoTools.MapState.Global,Automation Map: GLOBAL,
Calloatti.AutoTools.MapState.Off,Automation Map: OFF,
Calloatti.AutoTools.MapState.Partition,Automation Map: PARTITION,
Calloatti.AutoTools.MoveConnections.ToolDescription,Select destination building to move connections to.,
Calloatti.AutoTools.MoveConnections.Tooltip,Move Connections,
Calloatti.AutoTools.NetworkConflict,Network Conflict / Infinite Loop Detected!,
Calloatti.AutoTools.NetworkIdHeader,Network ID: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Output Broadcast,
Calloatti.AutoTools.PartitionInfo,Partition ID: {0} | Items: {1},
Calloatti.AutoTools.UnknownBuilding,Unknown Building,
Calloatti.AutoTools.Unpartitioned,Unpartitioned,
Calloatti.AutoTools.Usages,Usages,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Connection Height,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Adjusts where lines connect to buildings (0.0 is the bottom, 0.5 is the middle, 1.0 is the top)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Glow Transparency (Alpha),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Sets the opacity of the glow of lines (0.0 is completely invisible, 1.0 is fully opaque)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Glow Line Thickness,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Controls thickness of connection lines glow,
Calloatti.Config.AutoTools.MapDisplayState.Label,Map Display Mode,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Controls how the automation network map is shown (Hidden, Single selected network, or Global)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Off-State Brightness,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,Adjusts how bright the connection lines are when an automator is turned off or inactive,
KeyBindingGroup.Calloatti.AutoTools,Automation Tools,
