ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Automatisation,
Calloatti.AutoTools.DeviceState,État de l'appareil,
Calloatti.AutoTools.InputTransmitter,Entrée : {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Ouvrir l'onglet d'automatisation,
Calloatti.AutoTools.KeyBind.Toggle.Map,Activer/désactiver la carte d'automatisation,
Calloatti.AutoTools.MapState.Global,Carte d'automatisation : GLOBAL,
Calloatti.AutoTools.MapState.Off,Carte d'automatisation : DÉSACTIVÉ,
Calloatti.AutoTools.MapState.Partition,Carte d'automatisation : PARTITION,
Calloatti.AutoTools.MoveConnections.ToolDescription,Sélectionnez le bâtiment de destination pour déplacer les connexions.,
Calloatti.AutoTools.MoveConnections.Tooltip,Déplacer les connexions,
Calloatti.AutoTools.NetworkConflict,Conflit réseau / Boucle infinie détectée !,
Calloatti.AutoTools.NetworkIdHeader,ID réseau : {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Diffusion de sortie,
Calloatti.AutoTools.PartitionInfo,ID de partition : {0} | Éléments : {1},
Calloatti.AutoTools.UnknownBuilding,Bâtiment inconnu,
Calloatti.AutoTools.Unpartitioned,Non partitionné,
Calloatti.AutoTools.Usages,Utilisations,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Hauteur de connexion,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Ajuste l'endroit où les lignes se connectent aux bâtiments (0.0 est le bas, 0.5 est le milieu, 1.0 est le haut)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Transparence de la lueur (Alpha),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Définit l'opacité de la lueur des lignes (0.0 est complètement invisible, 1.0 est complètement opaque)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Épaisseur de la ligne de lueur,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Contrôle l'épaisseur de la lueur des lignes de connexion,
Calloatti.Config.AutoTools.MapDisplayState.Label,Mode d'affichage de la carte,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Contrôle la façon dont la carte du réseau d'automatisation est affichée (Masquée, Réseau sélectionné unique ou Global)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Luminosité à l'état éteint,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,Ajuste la luminosité des lignes de connexion lorsqu'un automate est éteint ou inactif,
KeyBindingGroup.Calloatti.AutoTools,Outils d'automatisation,
