ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Automazione,
Calloatti.AutoTools.DeviceState,Stato dispositivo,
Calloatti.AutoTools.InputTransmitter,Input: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Apri scheda automazione,
Calloatti.AutoTools.KeyBind.Toggle.Map,Attiva/disattiva mappa automazione,
Calloatti.AutoTools.MapState.Global,Mappa automazione: GLOBALE,
Calloatti.AutoTools.MapState.Off,Mappa automazione: SPENTO,
Calloatti.AutoTools.MapState.Partition,Mappa automazione: PARTIZIONE,
Calloatti.AutoTools.MoveConnections.ToolDescription,Seleziona l'edificio di destinazione per spostare le connessioni.,
Calloatti.AutoTools.MoveConnections.Tooltip,Sposta connessioni,
Calloatti.AutoTools.NetworkConflict,Conflitto di rete / Rilevato ciclo infinito!,
Calloatti.AutoTools.NetworkIdHeader,ID rete: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Trasmissione in uscita,
Calloatti.AutoTools.PartitionInfo,ID partizione: {0} | Elementi: {1},
Calloatti.AutoTools.UnknownBuilding,Edificio sconosciuto,
Calloatti.AutoTools.Unpartitioned,Non partizionato,
Calloatti.AutoTools.Usages,Utilizzi,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Altezza connessione,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Regola dove le linee si collegano agli edifici (0.0 è la parte inferiore, 0.5 è la metà, 1.0 è la parte superiore)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Trasparenza bagliore (Alpha),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Imposta l'opacità del bagliore delle linee (0.0 è completamente invisibile, 1.0 è completamente opaco)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Spessore linea bagliore,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Controlla lo spessore del bagliore delle linee di connessione,
Calloatti.Config.AutoTools.MapDisplayState.Label,Modalità visualizzazione mappa,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Controlla come viene mostrata la mappa della rete di automazione (Nascosta, Rete singola selezionata o Globale)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Luminosità stato spento,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,Regola la luminosità delle linee di connessione quando un automatore è spento o inattivo,
KeyBindingGroup.Calloatti.AutoTools,Strumenti di automazione,
