ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Automatyzacja,
Calloatti.AutoTools.DeviceState,Stan urządzenia,
Calloatti.AutoTools.InputTransmitter,Wejście: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Otwórz zakładkę automatyzacji,
Calloatti.AutoTools.KeyBind.Toggle.Map,Przełącz mapę automatyzacji,
Calloatti.AutoTools.MapState.Global,Mapa automatyzacji: GLOBALNA,
Calloatti.AutoTools.MapState.Off,Mapa automatyzacji: WYŁ.,
Calloatti.AutoTools.MapState.Partition,Mapa automatyzacji: PARTYCJA,
Calloatti.AutoTools.MoveConnections.ToolDescription,"Wybierz budynek docelowy, aby przenieść połączenia.",
Calloatti.AutoTools.MoveConnections.Tooltip,Przenieś połączenia,
Calloatti.AutoTools.NetworkConflict,Konflikt sieci / Wykryto nieskończoną pętlę!,
Calloatti.AutoTools.NetworkIdHeader,ID sieci: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Transmisja wyjściowa,
Calloatti.AutoTools.PartitionInfo,ID partycji: {0} | Elementy: {1},
Calloatti.AutoTools.UnknownBuilding,Nieznany budynek,
Calloatti.AutoTools.Unpartitioned,Niepartycypowany,
Calloatti.AutoTools.Usages,Użycia,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Wysokość połączenia,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Dostosowuje, gdzie linie łączą się z budynkami (0.0 to dół, 0.5 to środek, 1.0 to góra)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Przezroczystość świecenia (Alfa),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Ustawia krycie świecenia linii (0.0 jest całkowicie niewidoczne, 1.0 jest całkowicie nieprzezroczyste)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Grubość linii świecenia,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Kontroluje grubość świecenia linii połączeń,
Calloatti.Config.AutoTools.MapDisplayState.Label,Tryb wyświetlania mapy,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Kontroluje sposób wyświetlania mapy sieci automatyzacji (Ukryta, Pojedyncza wybrana sieć lub Globalna)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Jasność w stanie wyłączenia,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,"Dostosowuje jasność linii połączeń, gdy automatyzer jest wyłączony lub nieaktywny",
KeyBindingGroup.Calloatti.AutoTools,Narzędzia automatyzacji,
