ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Автоматизация,
Calloatti.AutoTools.DeviceState,Состояние устройства,
Calloatti.AutoTools.InputTransmitter,Вход: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Открыть вкладку автоматизации,
Calloatti.AutoTools.KeyBind.Toggle.Map,Переключить карту автоматизации,
Calloatti.AutoTools.MapState.Global,Карта автоматизации: ГЛОБАЛЬНАЯ,
Calloatti.AutoTools.MapState.Off,Карта автоматизации: ВЫКЛ,
Calloatti.AutoTools.MapState.Partition,Карта автоматизации: РАЗДЕЛ,
Calloatti.AutoTools.MoveConnections.ToolDescription,Выберите целевое здание для перемещения соединений.,
Calloatti.AutoTools.MoveConnections.Tooltip,Переместить соединения,
Calloatti.AutoTools.NetworkConflict,Конфликт сети / Обнаружена бесконечная петля!,
Calloatti.AutoTools.NetworkIdHeader,ID сети: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Выходная передача,
Calloatti.AutoTools.PartitionInfo,ID раздела: {0} | Элементы: {1},
Calloatti.AutoTools.UnknownBuilding,Неизвестное здание,
Calloatti.AutoTools.Unpartitioned,Неразделенный,
Calloatti.AutoTools.Usages,Использования,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Высота соединения,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Регулирует, где линии соединяются со зданиями (0.0 — низ, 0.5 — середина, 1.0 — верх)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Прозрачность свечения (Альфа),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Устанавливает непрозрачность свечения линий (0.0 — полностью невидимо, 1.0 — полностью непрозрачно)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Толщина линии свечения,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Управляет толщиной свечения линий соединений,
Calloatti.Config.AutoTools.MapDisplayState.Label,Режим отображения карты,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Управляет отображением карты сети автоматизации (Скрыто, Одиночная выбранная сеть или Глобальная)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Яркость в выключенном состоянии,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,"Регулирует яркость линий соединений, когда автоматизатор выключен или неактивен",
KeyBindingGroup.Calloatti.AutoTools,Инструменты автоматизации,
