ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,自動化,
Calloatti.AutoTools.DeviceState,裝置狀態,
Calloatti.AutoTools.InputTransmitter,輸入: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,開啟自動化分頁,
Calloatti.AutoTools.KeyBind.Toggle.Map,切換自動化地圖,
Calloatti.AutoTools.MapState.Global,自動化地圖: 全域,
Calloatti.AutoTools.MapState.Off,自動化地圖: 關閉,
Calloatti.AutoTools.MapState.Partition,自動化地圖: 分割區,
Calloatti.AutoTools.MoveConnections.ToolDescription,選擇要移動連線的目標建築物。,
Calloatti.AutoTools.MoveConnections.Tooltip,移動連線,
Calloatti.AutoTools.NetworkConflict,網路衝突 / 偵測到無限迴圈!,
Calloatti.AutoTools.NetworkIdHeader,網路ID: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,輸出廣播,
Calloatti.AutoTools.PartitionInfo,分割區ID: {0} | 項目: {1},
Calloatti.AutoTools.UnknownBuilding,未知建築物,
Calloatti.AutoTools.Unpartitioned,未分割,
Calloatti.AutoTools.Usages,使用情況,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,連線高度,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"調整線條與建築物連接的位置 (0.0 是底部, 0.5 是中間, 1.0 是頂部)",
Calloatti.Config.AutoTools.GlowAlpha.Label,發光透明度 (Alpha),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"設定線條發光的不透明度 (0.0 完全看不見, 1.0 完全不透明)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,發光線條粗細,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,控制連線發光線條的粗細,
Calloatti.Config.AutoTools.MapDisplayState.Label,地圖顯示模式,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,控制自動化網路地圖的顯示方式 (隱藏、單一選取網路或全域),
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,關閉狀態亮度,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,調整自動化器關閉或不活躍時連線的亮度,
KeyBindingGroup.Calloatti.AutoTools,自動化工具,
