ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Automatisierung,
Calloatti.AutoTools.DeviceState,Gerätestatus,
Calloatti.AutoTools.InputTransmitter,Eingabe: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Automatisierungs-Tab öffnen,
Calloatti.AutoTools.KeyBind.Toggle.Map,Automatisierungskarte umschalten,
Calloatti.AutoTools.MapState.Global,Automatisierungskarte: GLOBAL,
Calloatti.AutoTools.MapState.Off,Automatisierungskarte: AUS,
Calloatti.AutoTools.MapState.Partition,Automatisierungskarte: PARTITION,
Calloatti.AutoTools.MoveConnections.ToolDescription,"Wählen Sie das Zielgebäude aus, um Verbindungen zu verschieben.",
Calloatti.AutoTools.MoveConnections.Tooltip,Verbindungen verschieben,
Calloatti.AutoTools.NetworkConflict,Netzwerkkonflikt / Endlosschleife erkannt!,
Calloatti.AutoTools.NetworkIdHeader,Netzwerk-ID: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Ausgangssendung,
Calloatti.AutoTools.PartitionInfo,Partitions-ID: {0} | Elemente: {1},
Calloatti.AutoTools.UnknownBuilding,Unbekanntes Gebäude,
Calloatti.AutoTools.Unpartitioned,Nicht partitioniert,
Calloatti.AutoTools.Usages,Nutzungen,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Verbindungshöhe,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Passt an, wo Linien mit Gebäuden verbunden werden (0.0 ist unten, 0.5 ist die Mitte, 1.0 ist oben)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Leuchttransparenz (Alpha),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Legt die Deckkraft des Leuchtens von Linien fest (0.0 ist vollständig unsichtbar, 1.0 ist vollständig undurchsichtig)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Leuchtlinienstärke,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Steuert die Stärke des Leuchtens der Verbindungslinien,
Calloatti.Config.AutoTools.MapDisplayState.Label,Kartenanzeigemodus,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Steuert, wie die Automatisierungsnetzwerkkarte angezeigt wird (Ausgeblendet, Einzelnes ausgewähltes Netzwerk oder Global)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Helligkeit im Aus-Zustand,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,"Passt an, wie hell die Verbindungslinien sind, wenn ein Automator ausgeschaltet oder inaktiv ist",
KeyBindingGroup.Calloatti.AutoTools,Automatisierungswerkzeuge,
