ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Automatización,
Calloatti.AutoTools.DeviceState,Estado del dispositivo,
Calloatti.AutoTools.InputTransmitter,Entrada: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Abrir pestaña de automatización,
Calloatti.AutoTools.KeyBind.Toggle.Map,Alternar mapa de automatización,
Calloatti.AutoTools.MapState.Global,Mapa de automatización: GLOBAL,
Calloatti.AutoTools.MapState.Off,Mapa de automatización: DESACTIVADO,
Calloatti.AutoTools.MapState.Partition,Mapa de automatización: PARTICIÓN,
Calloatti.AutoTools.MoveConnections.ToolDescription,Seleccione el edificio de destino para mover las conexiones.,
Calloatti.AutoTools.MoveConnections.Tooltip,Mover conexiones,
Calloatti.AutoTools.NetworkConflict,Conflicto de red / Bucle infinito detectado!,
Calloatti.AutoTools.NetworkIdHeader,ID de red: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Transmisión de salida,
Calloatti.AutoTools.PartitionInfo,ID de partición: {0} | Elementos: {1},
Calloatti.AutoTools.UnknownBuilding,Edificio desconocido,
Calloatti.AutoTools.Unpartitioned,Sin partición,
Calloatti.AutoTools.Usages,Usos,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Altura de conexión,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Ajusta dónde las líneas se conectan a los edificios (0.0 es la parte inferior, 0.5 es el medio, 1.0 es la parte superior)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Transparencia de brillo (Alfa),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Establece la opacidad del brillo de las líneas (0.0 es completamente invisible, 1.0 es completamente opaco)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Grosor de línea de brillo,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Controla el grosor del brillo de las líneas de conexión,
Calloatti.Config.AutoTools.MapDisplayState.Label,Modo de visualización del mapa,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Controla cómo se muestra el mapa de la red de automatización (Oculto, Red única seleccionada o Global)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Brillo en estado apagado,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,Ajusta el brillo de las líneas de conexión cuando un automatizador está apagado o inactivo,
KeyBindingGroup.Calloatti.AutoTools,Herramientas de automatización,
