ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,オートメーション,
Calloatti.AutoTools.DeviceState,デバイス状態,
Calloatti.AutoTools.InputTransmitter,入力: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,オートメーションタブを開く,
Calloatti.AutoTools.KeyBind.Toggle.Map,オートメーションマップを切り替え,
Calloatti.AutoTools.MapState.Global,オートメーションマップ: グローバル,
Calloatti.AutoTools.MapState.Off,オートメーションマップ: オフ,
Calloatti.AutoTools.MapState.Partition,オートメーションマップ: パーティション,
Calloatti.AutoTools.MoveConnections.ToolDescription,接続を移動する宛先の建物を選択してください。,
Calloatti.AutoTools.MoveConnections.Tooltip,接続を移動,
Calloatti.AutoTools.NetworkConflict,ネットワーク競合 / 無限ループが検出されました!,
Calloatti.AutoTools.NetworkIdHeader,ネットワークID: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,出力ブロードキャスト,
Calloatti.AutoTools.PartitionInfo,パーティションID: {0} | アイテム: {1},
Calloatti.AutoTools.UnknownBuilding,不明な建物,
Calloatti.AutoTools.Unpartitioned,未パーティション,
Calloatti.AutoTools.Usages,使用法,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,接続の高さ,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,線が建物に接続する位置を調整します (0.0は下部、0.5は中央、1.0は上部),
Calloatti.Config.AutoTools.GlowAlpha.Label,グローの透明度 (アルファ),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,線のグローの不透明度を設定します (0.0は完全に透明、1.0は完全に不透明),
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,グローラインの太さ,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,接続線のグローの太さを制御します,
Calloatti.Config.AutoTools.MapDisplayState.Label,マップ表示モード,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,オートメーションネットワークマップの表示方法を制御します (非表示、単一選択ネットワーク、またはグローバル),
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,オフ状態の明るさ,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,オートメーターがオフまたは非アクティブなときの接続線の明るさを調整します,
KeyBindingGroup.Calloatti.AutoTools,オートメーションツール,
