ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,자동화,
Calloatti.AutoTools.DeviceState,장치 상태,
Calloatti.AutoTools.InputTransmitter,입력: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,자동화 탭 열기,
Calloatti.AutoTools.KeyBind.Toggle.Map,자동화 맵 전환,
Calloatti.AutoTools.MapState.Global,자동화 맵: 글로벌,
Calloatti.AutoTools.MapState.Off,자동화 맵: 끄기,
Calloatti.AutoTools.MapState.Partition,자동화 맵: 파티션,
Calloatti.AutoTools.MoveConnections.ToolDescription,연결을 이동할 대상 건물을 선택하십시오.,
Calloatti.AutoTools.MoveConnections.Tooltip,연결 이동,
Calloatti.AutoTools.NetworkConflict,네트워크 충돌 / 무한 루프 감지!,
Calloatti.AutoTools.NetworkIdHeader,네트워크 ID: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,출력 브로드캐스트,
Calloatti.AutoTools.PartitionInfo,파티션 ID: {0} | 항목: {1},
Calloatti.AutoTools.UnknownBuilding,알 수 없는 건물,
Calloatti.AutoTools.Unpartitioned,파티션되지 않음,
Calloatti.AutoTools.Usages,사용량,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,연결 높이,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"라인이 건물에 연결되는 위치를 조정합니다 (0.0은 하단, 0.5는 중간, 1.0은 상단)",
Calloatti.Config.AutoTools.GlowAlpha.Label,광선 투명도 (알파),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"선 광선의 불투명도를 설정합니다 (0.0은 완전히 보이지 않음, 1.0은 완전히 불투명)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,광선 두께,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,연결선 광선의 두께를 제어합니다,
Calloatti.Config.AutoTools.MapDisplayState.Label,맵 표시 모드,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"자동화 네트워크 맵 표시 방법을 제어합니다 (숨김, 단일 선택 네트워크 또는 글로벌)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,꺼짐 상태 밝기,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,자동화 장치가 꺼져 있거나 비활성화된 때 연결선의 밝기를 조정합니다,
KeyBindingGroup.Calloatti.AutoTools,자동화 도구,
