ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Automação,
Calloatti.AutoTools.DeviceState,Estado do dispositivo,
Calloatti.AutoTools.InputTransmitter,Entrada: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Abrir aba de automação,
Calloatti.AutoTools.KeyBind.Toggle.Map,Alternar mapa de automação,
Calloatti.AutoTools.MapState.Global,Mapa de automação: GLOBAL,
Calloatti.AutoTools.MapState.Off,Mapa de automação: DESLIGADO,
Calloatti.AutoTools.MapState.Partition,Mapa de automação: PARTIÇÃO,
Calloatti.AutoTools.MoveConnections.ToolDescription,Selecione o edifício de destino para mover as conexões.,
Calloatti.AutoTools.MoveConnections.Tooltip,Mover conexões,
Calloatti.AutoTools.NetworkConflict,Conflito de rede / Loop infinito detectado!,
Calloatti.AutoTools.NetworkIdHeader,ID de rede: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Transmissão de saída,
Calloatti.AutoTools.PartitionInfo,ID da partição: {0} | Itens: {1},
Calloatti.AutoTools.UnknownBuilding,Edifício desconhecido,
Calloatti.AutoTools.Unpartitioned,Não particionado,
Calloatti.AutoTools.Usages,Usos,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Altura da conexão,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Ajusta onde as linhas se conectam aos edifícios (0.0 é a parte inferior, 0.5 é o meio, 1.0 é a parte superior)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Transparência do brilho (Alfa),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Define a opacidade do brilho das linhas (0.0 é completamente invisível, 1.0 é completamente opaco)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Espessura da linha de brilho,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Controla a espessura do brilho das linhas de conexão,
Calloatti.Config.AutoTools.MapDisplayState.Label,Modo de exibição do mapa,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Controla como o mapa da rede de automação é mostrado (Oculto, Rede única selecionada ou Global)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Brilho no estado desligado,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,Ajusta o brilho das linhas de conexão quando um automatizador está desligado ou inativo,
KeyBindingGroup.Calloatti.AutoTools,Ferramentas de automação,
