ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,ระบบอัตโนมัติ,
Calloatti.AutoTools.DeviceState,สถานะอุปกรณ์,
Calloatti.AutoTools.InputTransmitter,อินพุต: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,เปิดแท็บระบบอัตโนมัติ,
Calloatti.AutoTools.KeyBind.Toggle.Map,สลับแผนที่ระบบอัตโนมัติ,
Calloatti.AutoTools.MapState.Global,แผนที่ระบบอัตโนมัติ: ทั่วโลก,
Calloatti.AutoTools.MapState.Off,แผนที่ระบบอัตโนมัติ: ปิด,
Calloatti.AutoTools.MapState.Partition,แผนที่ระบบอัตโนมัติ: พาร์ติชัน,
Calloatti.AutoTools.MoveConnections.ToolDescription,เลือกอาคารปลายทางเพื่อย้ายการเชื่อมต่อ,
Calloatti.AutoTools.MoveConnections.Tooltip,ย้ายการเชื่อมต่อ,
Calloatti.AutoTools.NetworkConflict,ข้อขัดแย้งเครือข่าย / ตรวจพบลูปไม่รู้จบ!,
Calloatti.AutoTools.NetworkIdHeader,รหัสเครือข่าย: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,การออกอากาศเอาต์พุต,
Calloatti.AutoTools.PartitionInfo,รหัสพาร์ติชัน: {0} | รายการ: {1},
Calloatti.AutoTools.UnknownBuilding,อาคารที่ไม่รู้จัก,
Calloatti.AutoTools.Unpartitioned,ไม่ได้แบ่งพาร์ติชัน,
Calloatti.AutoTools.Usages,การใช้งาน,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,ความสูงของการเชื่อมต่อ,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"ปรับตำแหน่งที่เส้นเชื่อมต่อกับอาคาร (0.0 คือด้านล่าง, 0.5 คือตรงกลาง, 1.0 คือด้านบน)",
Calloatti.Config.AutoTools.GlowAlpha.Label,ความโปร่งใสของแสงเรือง (อัลฟา),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"ตั้งค่าความทึบของแสงเรืองของเส้น (0.0 คือมองไม่เห็นโดยสมบูรณ์, 1.0 คือทึบแสงโดยสมบูรณ์)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,ความหนาของเส้นเรืองแสง,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,ควบคุมความหนาของการเรืองแสงของเส้นเชื่อมต่อ,
Calloatti.Config.AutoTools.MapDisplayState.Label,โหมดแสดงแผนที่,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"ควบคุมวิธีแสดงแผนที่เครือข่ายอัตโนมัติ (ซ่อน, เครือข่ายที่เลือกเดียว, หรือทั่วโลก)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,ความสว่างเมื่อปิด,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,ปรับความสว่างของเส้นเชื่อมต่อเมื่อระบบอัตโนมัติถูกปิดหรือไม่ทำงาน,
KeyBindingGroup.Calloatti.AutoTools,เครื่องมือระบบอัตโนมัติ,
