ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,Otomasyon,
Calloatti.AutoTools.DeviceState,Cihaz Durumu,
Calloatti.AutoTools.InputTransmitter,Giriş: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,Otomasyon Sekmesini Aç,
Calloatti.AutoTools.KeyBind.Toggle.Map,Otomasyon Haritasını Değiştir,
Calloatti.AutoTools.MapState.Global,Otomasyon Haritası: GENEL,
Calloatti.AutoTools.MapState.Off,Otomasyon Haritası: KAPALI,
Calloatti.AutoTools.MapState.Partition,Otomasyon Haritası: BÖLÜM,
Calloatti.AutoTools.MoveConnections.ToolDescription,Bağlantıları taşımak için hedef binayı seçin.,
Calloatti.AutoTools.MoveConnections.Tooltip,Bağlantıları Taşı,
Calloatti.AutoTools.NetworkConflict,Ağ Çakışması / Sonsuz Döngü Tespit Edildi!,
Calloatti.AutoTools.NetworkIdHeader,Ağ Kimliği: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,Çıkış Yayını,
Calloatti.AutoTools.PartitionInfo,Bölüm Kimliği: {0} | Öğeler: {1},
Calloatti.AutoTools.UnknownBuilding,Bilinmeyen Bina,
Calloatti.AutoTools.Unpartitioned,Bölümlenmemiş,
Calloatti.AutoTools.Usages,Kullanımlar,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,Bağlantı Yüksekliği,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"Çizgilerin binalara bağlandığı yeri ayarlar (0.0 alt, 0.5 orta, 1.0 üst)",
Calloatti.Config.AutoTools.GlowAlpha.Label,Parlama Şeffaflığı (Alfa),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"Çizgilerin parlama opaklığını ayarlar (0.0 tamamen görünmez, 1.0 tamamen opak)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,Parlama Çizgisi Kalınlığı,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,Bağlantı çizgilerinin parlama kalınlığını kontrol eder,
Calloatti.Config.AutoTools.MapDisplayState.Label,Harita Görüntüleme Modu,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,"Otomasyon ağ haritasının nasıl gösterileceğini kontrol eder (Gizli, Tek seçili ağ veya Genel)",
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,Kapalı Durum Parlaklığı,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,Bir otomatör kapatıldığında veya etkin değilken bağlantı çizgilerinin parlaklığını ayarlar,
KeyBindingGroup.Calloatti.AutoTools,Otomasyon Araçları,
