ID,Text,Comment
Calloatti.AutoTools.Automation.TabName,自动化,
Calloatti.AutoTools.DeviceState,设备状态,
Calloatti.AutoTools.InputTransmitter,输入: {0},
Calloatti.AutoTools.KeyBind.AutomationTab,打开自动化选项卡,
Calloatti.AutoTools.KeyBind.Toggle.Map,切换自动化地图,
Calloatti.AutoTools.MapState.Global,自动化地图: 全局,
Calloatti.AutoTools.MapState.Off,自动化地图: 关闭,
Calloatti.AutoTools.MapState.Partition,自动化地图: 分区,
Calloatti.AutoTools.MoveConnections.ToolDescription,选择目标建筑以移动连接。,
Calloatti.AutoTools.MoveConnections.Tooltip,移动连接,
Calloatti.AutoTools.NetworkConflict,网络冲突 / 检测到无限循环!,
Calloatti.AutoTools.NetworkIdHeader,网络ID: {0} ({1}),
Calloatti.AutoTools.OutputBroadcast,输出广播,
Calloatti.AutoTools.PartitionInfo,分区ID: {0} | 项目: {1},
Calloatti.AutoTools.UnknownBuilding,未知建筑,
Calloatti.AutoTools.Unpartitioned,未分区,
Calloatti.AutoTools.Usages,使用情况,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Label,连接高度,
Calloatti.Config.AutoTools.ConnectionHeightFraction.Tooltip,"调整线条与建筑连接的位置 (0.0 是底部, 0.5 是中间, 1.0 是顶部)",
Calloatti.Config.AutoTools.GlowAlpha.Label,辉光透明度 (Alpha),
Calloatti.Config.AutoTools.GlowAlpha.Tooltip,"设置线条辉光的不透明度 (0.0 完全不可见, 1.0 完全不透明)",
Calloatti.Config.AutoTools.GlowWidthMultiplier.Label,辉光线粗细,
Calloatti.Config.AutoTools.GlowWidthMultiplier.Tooltip,控制连接线辉光的粗细,
Calloatti.Config.AutoTools.MapDisplayState.Label,地图显示模式,
Calloatti.Config.AutoTools.MapDisplayState.Tooltip,控制自动化网络地图的显示方式 (隐藏、单个选定网络或全局),
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Label,关闭状态亮度,
Calloatti.Config.AutoTools.OffStateBrightnessMultiplier.Tooltip,调整自动化器关闭或不活跃时连接线的亮度,
KeyBindingGroup.Calloatti.AutoTools,自动化工具,
