ID,Text,Comment
Tobbert.TrackOneWay.DisplayName,一方通行の信号,
Tobbert.TrackOneWay.Description,列車を矢印の方向にしか進めないようにする線路。閉そくを区切る効果もある。1つの閉そく区間は色つきの線で表示され、一度に1編成だけ列車が入れる。,
Tobbert.TrackOneWay.FlavorDescription,ここへ来てはいけない！すぐ戻れ！,
Tobbert.TrackOneWay.Mode.TwoWay,両方向,
Tobbert.TrackOneWay.Mode.Forward,方向 1,
Tobbert.TrackOneWay.Mode.Reverse,方向 2,
Tobbert.TrainYard.DisplayName,操車場,
Tobbert.TrainYard.Description,列車を新造し、燃料庫も兼ねる施設。丸太と水を蓄えておけば、燃料切れの列車がここで補給できる。,
Tobbert.TrainYard.FlavorDescription,ここで列車が作られる。,
Tobbert.TrainYard.CostOfTrain,1編成の建造費:,
Tobbert.TrainYard.CreateTrain,列車を新造する,
Tobbert.TrainYard.CancelBuild,建造を中止,
Tobbert.TrainYard.BuildTimeLeft,残り {0} 時間,
Tobbert.TrainYard.PreviewErrorMessage,操車場は1つしか建設できません。,
Tobbert.Train.PrefabName,機関車,
Tobbert.Train.Destroy,本当に選択中の列車を撤去しますか？,
Tobbert.GoodsStation.DisplayName,貨物駅,
Tobbert.GoodsStation.Description,列車で運ばれる貨物の積み降ろしを行う。,
Tobbert.GoodsStation.FlavorDescription,偉大な鉄道には、貨物を降ろす場所が欠かせない。,
Tobbert.GoodsStationWarehouse.AssociatedStation.Header,連携する駅,
Tobbert.GoodsStationWarehouse.AssociatedStation.None,接触している駅なし,
Tobbert.GoodsStationWarehouse.ExtraSlots,追加スロット: {0},
Tobbert.GoodsStationWarehouseSmall.DisplayName,小型倉庫,
Tobbert.GoodsStationWarehouseSmall.Description,貨物駅に隣接または真下に置いて保管容量を拡張する倉庫。単体では何も保管しない。,
Tobbert.GoodsStationWarehouseSmall.FlavorDescription,絶え間ない貨物の流れを支える、ささやかな一棟。,
Tobbert.GoodsStationWarehouseMedium.DisplayName,中型倉庫,
Tobbert.GoodsStationWarehouseMedium.Description,貨物駅に隣接または真下に置いて保管容量を拡張する倉庫。単体では何も保管しない。,
Tobbert.GoodsStationWarehouseMedium.FlavorDescription,増えゆく貨物の流れを受け止める、広々とした一棟。,
Tobbert.GoodsStationWarehouseLarge.DisplayName,大型倉庫,
Tobbert.GoodsStationWarehouseLarge.Description,貨物駅に隣接または真下に置いて保管容量を拡張する倉庫。単体では何も保管しない。,
Tobbert.GoodsStationWarehouseLarge.FlavorDescription,止むことのない貨物の奔流を呑み込む、巨大な一棟。,
Tobbert.GoodsStationSiloSmall.DisplayName,小型サイロ,
Tobbert.GoodsStationSiloSmall.Description,貨物駅に隣接して置いて保管容量を拡張するサイロ。単体では何も保管しない。,
Tobbert.GoodsStationSiloSmall.FlavorDescription,尽きぬ貨物の流れに、ほんの少しの余裕を。,
Tobbert.GoodsStationSiloMedium.DisplayName,中型サイロ,
Tobbert.GoodsStationSiloMedium.Description,貨物駅に隣接して置いて保管容量を拡張するサイロ。単体では何も保管しない。,
Tobbert.GoodsStationSiloMedium.FlavorDescription,尽きぬ貨物の流れに、たっぷりの余裕を。,
Tobbert.WaitingStation.DisplayName,待避線,
Tobbert.WaitingStation.Description,仕事の無い列車が待機し、新たな指令を待つ側線。,
Tobbert.WaitingStation.FlavorDescription,列車にも休息のひとときが必要だ。,
Tobbert.Cargo.Header,貨物,
Tobbert.Cargo.AddGood,貨物を追加,
Tobbert.Cargo.Direction.Import,搬入,
Tobbert.Cargo.Direction.Export,搬出,
Tobbert.Train.DisplayName,列車,
Tobbert.Train.Description,鉄道網を通じて貨物駅間で貨物を運搬する。,
Tobbert.Train.FlavorDescription,ビーバーたちは「いつも時間どおりだ」と言い張る。貨物はもう口答えしないことを覚えた。,
Tobbert.Train.Status.NeedFuel,燃料切れ,
Tobbert.Train.Status.EmergencyStop,緊急停止,
Tobbert.Train.Status.Hungry,機関士が空腹 — 食事のため帰投中,
Tobbert.Train.Status.Thirsty,機関士が喉が渇いた — 水分補給のため帰投中,
