ID,Text,Comment
HR,======================================================================,
MoleCadre.DirtPulverizer.Name,"Dirt Pulverizer",
HR,======================================================================,
MoleCadre.FarmerFlag.Name,"Farmer Flag",
MoleCadre.FarmerFlag.Desc,"Default farmer for every faction",
MoleCadre.FarmerFlag.Cite,"Catches anything mods add to 'Farmhouse' planting group",
MoleCadre.AquaFarmerFlag.Name,"Aqua Farmer Flag",
MoleCadre.AquaFarmerFlag.Desc,"Default aqua farmer for every faction",
MoleCadre.AquaFarmerFlag.Cite,"Catches anything mods add to 'AquaticFarmhouse' planting group",
MoleCadre.ForesterFlag.Name,"Forester Flag",
MoleCadre.ForesterFlag.Desc,"Default forester for every faction",
MoleCadre.ForesterFlag.Cite,"Catches anything mods add to 'Forester' planting group",
HR,======================================================================,
MoleCadre.AquaFarmer.Folktails.Name,"Aquatic Farmer- Folktails",
MoleCadre.AquaFarmer.IronTeeth.Name,"Aquatic Farmer - IronTeeth",
MoleCadre.AquaFarmer.Whitepaws.Name,"Aquatic Farmer - Whitepaws",
MoleCadre.AquaFarmer.LeafCoats.Name,"Aquatic Farmer - LeafCoats",
MoleCadre.AquaFarmer.Emberpelts.Name,"Aquatic Farmer - Emberpelts",
MoleCadre.AquaFarmer.FrostyWhiskers.Name,"Aquatic Farmer - Frosty Whiskers",
HR,======================================================================,
MoleCadre.Farmer.Folktails.Name,"Farmer- Folktails",
MoleCadre.Farmer.IronTeeth.Name,"Farmer - IronTeeth",
MoleCadre.Farmer.Whitepaws.Name,"Farmer - Whitepaws",
MoleCadre.Farmer.LeafCoats.Name,"Farmer - LeafCoats",
MoleCadre.Farmer.Emberpelts.Name,"Farmer - Emberpelts",
MoleCadre.Farmer.FrostyWhiskers.Name,"Farmer - Frosty Whiskers",
HR,======================================================================,
MoleCadre.Forester.Folktails.Name,"Forester- Folktails",
MoleCadre.Forester.IronTeeth.Name,"Forester - IronTeeth",
MoleCadre.Forester.Whitepaws.Name,"Forester - Whitepaws",
MoleCadre.Forester.LeafCoats.Name,"Forester - LeafCoats",
MoleCadre.Forester.Emberpelts.Name,"Forester - Emberpelts",
MoleCadre.Forester.FrostyWhiskers.Name,"Forester - Frosty Whiskers",
HR,======================================================================,
MoleCadre.Builder.AquaFarmer.Folktails.Name,"Builder Aquatic Farmer- Folktails",
MoleCadre.Builder.AquaFarmer.IronTeeth.Name,"Builder Aquatic Farmer - IronTeeth",
MoleCadre.Builder.AquaFarmer.Whitepaws.Name,"Builder Aquatic Farmer - Whitepaws",
MoleCadre.Builder.AquaFarmer.LeafCoats.Name,"Builder Aquatic Farmer - LeafCoats",
MoleCadre.Builder.AquaFarmer.Emberpelts.Name,"Builder Aquatic Farmer - Emberpelts",
MoleCadre.Builder.AquaFarmer.FrostyWhiskers.Name,"Builder Aquatic Farmer - Frosty Whiskers",
HR,======================================================================,
MoleCadre.Builder.Farmer.Folktails.Name,"Builder Farmer- Folktails",
MoleCadre.Builder.Farmer.IronTeeth.Name,"Builder Farmer - IronTeeth",
MoleCadre.Builder.Farmer.Whitepaws.Name,"Builder Farmer - Whitepaws",
MoleCadre.Builder.Farmer.LeafCoats.Name,"Builder Farmer - LeafCoats",
MoleCadre.Builder.Farmer.Emberpelts.Name,"Builder Farmer - Emberpelts",
MoleCadre.Builder.Farmer.FrostyWhiskers.Name,"Builder Farmer - Frosty Whiskers",
HR,======================================================================,
MoleCadre.Builder.Forester.Folktails.Name,"Builder Forester- Folktails",
MoleCadre.Builder.Forester.IronTeeth.Name,"Builder Forester - IronTeeth",
MoleCadre.Builder.Forester.Whitepaws.Name,"Builder Forester - Whitepaws",
MoleCadre.Builder.Forester.LeafCoats.Name,"Builder Forester - LeafCoats",
