ID,Text,Comment
Building.Anemometer.DisplayName,Anémomètre,
Building.Anemometer.Description,"Mesure la force et la direction du vent, envoie un signal d'automatisation basé sur un seuil configurable.",
Anemometer.WindStrength,"Force du vent : {0}%",
Anemometer.WindDirection,"Direction du vent : {0}° ({1})",
Anemometer.Direction.N,N
Anemometer.Direction.NNE,NNE
Anemometer.Direction.NE,NE
Anemometer.Direction.ENE,ENE
Anemometer.Direction.E,E
Anemometer.Direction.ESE,ESE
Anemometer.Direction.SE,SE
Anemometer.Direction.SSE,SSE
Anemometer.Direction.S,S
Anemometer.Direction.SSW,SSO
Anemometer.Direction.SW,SO
Anemometer.Direction.WSW,OSO
Anemometer.Direction.W,O
Anemometer.Direction.WNW,ONO
Anemometer.Direction.NW,NO
Anemometer.Direction.NNW,NNO
