ID,Text,Comment
Building.Anemometer.DisplayName,Anemômetro,
Building.Anemometer.Description,"Mede a força e a direção do vento, envia um sinal de automação baseado em um limite configurável.",
Anemometer.WindStrength,"Força do vento: {0}%",
Anemometer.WindDirection,"Direção do vento: {0}° ({1})",
Anemometer.Direction.N,N
Anemometer.Direction.NNE,NNE
Anemometer.Direction.NE,NE
Anemometer.Direction.ENE,ENE
Anemometer.Direction.E,E
Anemometer.Direction.ESE,ESE
Anemometer.Direction.SE,SE
Anemometer.Direction.SSE,SSE
Anemometer.Direction.S,S
Anemometer.Direction.SSW,SSO
Anemometer.Direction.SW,SO
Anemometer.Direction.WSW,OSO
Anemometer.Direction.W,O
Anemometer.Direction.WNW,ONO
Anemometer.Direction.NW,NO
Anemometer.Direction.NNW,NNO
