ID,Text,Comment
Building.Anemometer.DisplayName,風速計,
Building.Anemometer.Description,"測量風速和風向，根據可配置的閾值發送自動化信號。",
Anemometer.WindStrength,"風速: {0}%",
Anemometer.WindDirection,"風向: {0}° ({1})",
Anemometer.Direction.N,北
Anemometer.Direction.NNE,北北東
Anemometer.Direction.NE,東北
Anemometer.Direction.ENE,東北偏東
Anemometer.Direction.E,東
Anemometer.Direction.ESE,東南偏東
Anemometer.Direction.SE,東南
Anemometer.Direction.SSE,東南偏南
Anemometer.Direction.S,南
Anemometer.Direction.SSW,西南偏南
Anemometer.Direction.SW,西南
Anemometer.Direction.WSW,西南偏西
Anemometer.Direction.W,西
Anemometer.Direction.WNW,西北偏西
Anemometer.Direction.NW,西北
Anemometer.Direction.NNW,北北西
