ID,Text,Comment
Calloatti.NRS.Column.Dead,ตาย,
Calloatti.NRS.Column.Dying,กำลังตาย,
Calloatti.NRS.Column.Healthy,แข็งแรง,
Calloatti.NRS.Column.Mature,โตเต็มที่,
Calloatti.NRS.Column.Plots,แปลง,
Calloatti.NRS.Column.Total,ทั้งหมด,
Calloatti.NRS.Filter,ตัวกรอง:,
Calloatti.NRS.Filter.All,ทั้งหมด,
Calloatti.NRS.Filter.Planted,ปลูก,
Calloatti.NRS.Filter.Plots,แปลง,
Calloatti.NRS.Filter.Wild,ป่า,
Calloatti.NRS.Header,สปีशีส์,
Calloatti.NRS.KeyBind,เปิดสถิติทรัพยากรธรรมชาติ,
Calloatti.NRS.Tab,สถิติทรัพยากรธรรมชาติ,
KeyBindingGroup.Calloatti.NRS,สถิติทรัพยากรธรรมชาติ,
